#,name,SE[kcal/mol],Delta(min)[eV],M(tot.)[D],EnergyGap[eV],Electrophilicity[eV],IP[eV],EA[eV],GlobalHardness[eV],Electronegativity[eV],Electrophilicity [eV],Temperature,Gradient,ParticleSize,Length,ID,Carbon Load,PoreSize,TR
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,45,40,3,100,3,17,100,18.831
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,45,40,3,100,3,17,100,23.561
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,45,40,3,100,3,17,100,26.156
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,30,20,3,100,3,17,100,11.434
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,30,20,3,100,3,17,100,19.096
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,30,20,3,100,3,17,100,9.522
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,30,20,3,100,3,17,100,5.377
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,30,20,3,100,3,17,100,10.07
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,30,20,3,100,3,17,100,2.851
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,30,20,3,100,3,17,100,10.167
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,30,20,3,100,3,17,100,8.03
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,30,20,3,100,3,17,100,11.963
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,30,20,3,100,3,17,100,15.044
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,30,20,3,100,3,17,100,5.776
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,30,20,3,100,3,17,100,9.473
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,30,20,3,100,3,17,100,13.602
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,30,20,3,100,3,17,100,16.014
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,30,20,3,100,3,17,100,17.526
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,30,20,3,100,3,17,100,11.553
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,30,20,3,100,3,17,100,19.104
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,30,20,3,100,3,17,100,9.535
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,30,20,3,100,3,17,100,5.373
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,30,20,3,100,3,17,100,10.087
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,30,20,3,100,3,17,100,2.87
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,30,20,3,100,3,17,100,10.167
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,30,20,3,100,3,17,100,8.033
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,30,20,3,100,3,17,100,11.958
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,30,20,3,100,3,17,100,15.043
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,30,20,3,100,3,17,100,5.753
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,30,20,3,100,3,17,100,9.468
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,30,20,3,100,3,17,100,13.603
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,30,20,3,100,3,17,100,16.001
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,30,20,3,100,3,17,100,17.675
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,30,40,3,100,3,17,100,16.706
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,30,40,3,100,3,17,100,31.03
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,30,40,3,100,3,17,100,12.836
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,30,40,3,100,3,17,100,5.861
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,30,40,3,100,3,17,100,13.254
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,30,40,3,100,3,17,100,2.836
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,30,40,3,100,3,17,100,13.268
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,30,40,3,100,3,17,100,9.656
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,30,40,3,100,3,17,100,17.172
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,30,40,3,100,3,17,100,23.183
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,30,40,3,100,3,17,100,6.393
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,30,40,3,100,3,17,100,12.41
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,30,40,3,100,3,17,100,20.227
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,30,40,3,100,3,17,100,24.963
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,30,40,3,100,3,17,100,27.684
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,30,40,3,100,3,17,100,16.689
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,30,40,3,100,3,17,100,31.065
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,30,40,3,100,3,17,100,12.836
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,30,40,3,100,3,17,100,5.897
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,30,40,3,100,3,17,100,13.307
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,30,40,3,100,3,17,100,2.859
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,30,40,3,100,3,17,100,13.283
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,30,40,3,100,3,17,100,9.665
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,30,40,3,100,3,17,100,17.167
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,30,40,3,100,3,17,100,23.179
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,30,40,3,100,3,17,100,6.424
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,30,40,3,100,3,17,100,12.424
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,30,40,3,100,3,17,100,20.235
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,30,40,3,100,3,17,100,24.963
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,30,40,3,100,3,17,100,27.797
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,25,40,3,100,3,20,120,15.951
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,25,40,3,100,3,20,120,30.916
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,25,40,3,100,3,20,120,12.354
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,25,40,3,100,3,20,120,5.277
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,25,40,3,100,3,20,120,12.68
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,25,40,3,100,3,20,120,2.625
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,25,40,3,100,3,20,120,12.889
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,25,40,3,100,3,20,120,8.88
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,25,40,3,100,3,20,120,16.589
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,25,40,3,100,3,20,120,22.766
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,25,40,3,100,3,20,120,6.05
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,25,40,3,100,3,20,120,11.978
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,25,40,3,100,3,20,120,19.941
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,25,40,3,100,3,20,120,24.926
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,25,40,3,100,3,20,120,28.033
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,25,40,3,100,3,20,120,15.948
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,25,40,3,100,3,20,120,30.927
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,25,40,3,100,3,20,120,12.353
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,25,40,3,100,3,20,120,5.278
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,25,40,3,100,3,20,120,12.693
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,25,40,3,100,3,20,120,2.627
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,25,40,3,100,3,20,120,12.889
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,25,40,3,100,3,20,120,8.878
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,25,40,3,100,3,20,120,16.573
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,25,40,3,100,3,20,120,22.754
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,25,40,3,100,3,20,120,6.05
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,25,40,3,100,3,20,120,11.978
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,25,40,3,100,3,20,120,19.94
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,25,40,3,100,3,20,120,24.926
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,25,40,3,100,3,20,120,28.095
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,45,40,3,100,3,20,120,13.857
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,45,40,3,100,3,20,120,28.83
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,45,40,3,100,3,20,120,10.347
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,45,40,3,100,3,20,120,4.004
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,45,40,3,100,3,20,120,10.813
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,45,40,3,100,3,20,120,2.437
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,45,40,3,100,3,20,120,11.081
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,45,40,3,100,3,20,120,7.274
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,45,40,3,100,3,20,120,14.557
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,45,40,3,100,3,20,120,20.975
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,45,40,3,100,3,20,120,4.899
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,45,40,3,100,3,20,120,9.631
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,45,40,3,100,3,20,120,17.992
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,45,40,3,100,3,20,120,22.802
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,45,40,3,100,3,20,120,25.496
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,45,40,3,100,3,20,120,13.844
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,45,40,3,100,3,20,120,28.826
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,45,40,3,100,3,20,120,10.358
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,45,40,3,100,3,20,120,3.998
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,45,40,3,100,3,20,120,10.817
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,45,40,3,100,3,20,120,2.433
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,45,40,3,100,3,20,120,11.085
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,45,40,3,100,3,20,120,7.297
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,45,40,3,100,3,20,120,14.57
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,45,40,3,100,3,20,120,20.954
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,45,40,3,100,3,20,120,4.898
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,45,40,3,100,3,20,120,9.612
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,45,40,3,100,3,20,120,17.999
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,45,40,3,100,3,20,120,22.8
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,45,40,3,100,3,20,120,25.507
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,30,20,3,100,3,20,120,10.965
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,30,20,3,100,3,20,120,18.669
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,30,20,3,100,3,20,120,8.936
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,30,20,3,100,3,20,120,4.643
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,30,20,3,100,3,20,120,9.438
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,30,20,3,100,3,20,120,2.592
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,30,20,3,100,3,20,120,9.644
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,30,20,3,100,3,20,120,7.206
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,30,20,3,100,3,20,120,11.32
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,30,20,3,100,3,20,120,14.532
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,30,20,3,100,3,20,120,5.229
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,30,20,3,100,3,20,120,8.791
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,30,20,3,100,3,20,120,13.131
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,30,20,3,100,3,20,120,15.642
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,30,20,3,100,3,20,120,17.306
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,30,20,3,100,3,20,120,10.865
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,30,20,3,100,3,20,120,18.667
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,30,20,3,100,3,20,120,8.943
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,30,20,3,100,3,20,120,4.642
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,30,20,3,100,3,20,120,9.427
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,30,20,3,100,3,20,120,2.598
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,30,20,3,100,3,20,120,9.639
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,30,20,3,100,3,20,120,7.208
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,30,20,3,100,3,20,120,11.316
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,30,20,3,100,3,20,120,14.548
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,30,20,3,100,3,20,120,5.227
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,30,20,3,100,3,20,120,8.796
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,30,20,3,100,3,20,120,13.117
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,30,20,3,100,3,20,120,15.648
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,30,20,3,100,3,20,120,17.363
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,30,40,3,100,3,20,120,15.471
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,30,40,3,100,3,20,120,30.447
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,30,40,3,100,3,20,120,11.884
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,30,40,3,100,3,20,120,4.926
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,30,40,3,100,3,20,120,12.228
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,30,40,3,100,3,20,120,2.6
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,30,40,3,100,3,20,120,12.484
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,30,40,3,100,3,20,120,8.456
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,30,40,3,100,3,20,120,16.133
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,30,40,3,100,3,20,120,22.394
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,30,40,3,100,3,20,120,5.738
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,30,40,3,100,3,20,120,11.387
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,30,40,3,100,3,20,120,19.515
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,30,40,3,100,3,20,120,24.46
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,30,40,3,100,3,20,120,27.435
1,1-Naphthylacetonitrile,-7.44,-0.503,5.378,8.383,-3.93,8.12,-0.26,4.19,3.93,1.84,30,40,3,100,3,20,120,15.466
2,"2,2?-Dinaphthyl ether",-6.145,-0.545,1.754,7.81,-3.61,7.51,-0.3,3.9,3.61,1.67,30,40,3,100,3,20,120,30.44
3,2-Naphtole,-7.669,-0.679,2.4686,8.287,-3.68,7.82,-0.46,4.14,3.68,1.63,30,40,3,100,3,20,120,11.883
4,4-Cyanophenol,-9.395,-0.666,6.9915,9.167,-4.07,8.65,-0.52,4.58,4.07,1.81,30,40,3,100,3,20,120,4.923
5,Anisole,-12.792,-0.68,3.8255,7.723,-2.63,6.49,-1.23,3.86,2.63,0.9,30,40,3,100,3,20,120,12.232
6,Benzamide,-10.376,-0.799,6.1048,9.644,-4.47,9.29,-0.36,4.82,4.47,2.07,30,40,3,100,3,20,120,2.589
7,Benzene,-1.42,-0.207,0,10.445,-3.89,9.12,-1.33,5.22,3.89,1.45,30,40,3,100,3,20,120,12.481
8,Benzonitrile,-3.943,-0.316,6.3173,9.622,-4.57,9.38,-0.24,4.81,4.57,2.17,30,40,3,100,3,20,120,8.461
9,Benzyl chloride,-12.384,-0.62,5.1833,7.752,-2.68,6.55,-1.2,3.88,2.68,0.92,30,40,3,100,3,20,120,16.132
10,Biphenyl,-3.525,-0.227,0,8.599,-3.88,8.18,-0.42,4.3,3.88,1.75,30,40,3,100,3,20,120,22.388
11,Indazole,-7.64,-0.364,2.6619,8.938,-3.76,8.23,-0.71,4.47,3.76,1.58,30,40,3,100,3,20,120,5.733
12,Indole,-6.029,-0.555,3.2198,8.923,-3.31,7.77,-1.15,4.46,3.31,1.23,30,40,3,100,3,20,120,11.385
13,Naphthalene,-2.654,-0.206,0,8.471,-3.81,8.04,-0.43,4.24,3.81,1.71,30,40,3,100,3,20,120,19.541
14,Phenanthrene,-3.736,-0.214,0.0401,8.337,-3.78,7.95,-0.39,4.17,3.78,1.72,30,40,3,100,3,20,120,24.463
15,Pyrene,-4.217,-0.206,0,7.242,-3.8,7.42,0.18,3.62,3.8,1.99,30,40,3,100,3,20,120,27.463
